field,fieldtype,from,fromString,to,toString,key,created,author,project
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-27,2019-03-26T10:27:33.314+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-27,2019-03-26T10:27:33.314+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-27,2019-03-26T14:38:49.409+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-27,2019-03-26T14:38:49.409+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-27,2019-04-05T13:56:34.012+0200,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-27,2019-04-05T13:56:37.025+0200,thomasschwengler,PAINTROID
assignee,jira,,,thomasschranz,Thomas Schranz,PAINTROID-27,2019-04-26T12:31:47.585+0200,thomasschranz,PAINTROID
assignee,jira,thomasschranz,Thomas Schranz,,,PAINTROID-27,2019-04-26T13:03:05.658+0200,thomasschranz,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-27,2019-04-26T13:03:05.658+0200,thomasschranz,PAINTROID
Code Reviewer,custom,,,thomasschranz,Thomas Schranz,PAINTROID-27,2019-04-26T13:03:05.658+0200,thomasschranz,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-27,2019-04-29T13:19:08.645+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-27,2019-04-30T15:26:17.562+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-27,2019-04-30T15:26:17.562+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-27,2019-04-30T15:26:17.562+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-27,2019-05-24T18:53:40.068+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-26,2018-11-07T21:04:31.236+0100,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-26,2018-11-07T21:04:36.995+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-26,2018-11-13T10:48:09.768+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-26,2018-11-13T10:49:48.040+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-26,2019-03-22T20:01:21.051+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-26,2019-03-22T20:01:21.051+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-26,2019-03-22T20:01:21.051+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-26,2019-03-24T22:59:40.709+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-26,2019-03-24T22:59:40.709+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-26,2019-03-25T00:40:04.754+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-26,2019-03-25T00:40:06.630+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-26,2019-03-25T00:40:06.630+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-26,2019-03-25T00:40:06.630+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-26,2019-04-19T11:51:18.519+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-26,2019-04-19T11:52:20.487+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-26,2019-04-19T11:52:20.487+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-26,2019-04-19T11:52:20.487+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-26,2019-05-24T18:53:38.362+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-25,2018-11-13T10:48:07.505+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-25,2018-11-13T10:49:50.412+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-25,2019-03-24T19:51:59.781+0100,thomasschwengler,PAINTROID
resolution,jira,,,10200,Won't Do,PAINTROID-25,2019-03-24T23:04:23.533+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10212,Rejected,PAINTROID-25,2019-03-24T23:04:23.533+0100,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-24,2018-11-07T21:02:10.670+0100,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-24,2018-11-07T21:02:10.670+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-24,2018-11-13T10:48:21.975+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-24,2018-11-13T10:49:46.415+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-24,2019-03-24T19:51:59.705+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-24,2019-03-25T12:58:51.022+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-24,2019-03-25T12:58:51.022+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-24,2019-03-25T12:58:51.022+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-24,2019-03-25T15:38:22.769+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-24,2019-03-25T15:38:22.769+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-24,2019-03-26T13:13:12.404+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-24,2019-03-26T13:13:15.925+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-24,2019-03-26T13:13:15.925+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-24,2019-03-26T13:13:15.925+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-24,2019-04-19T11:58:07.099+0200,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,thomasschwengler,Thomas Schwengler,PAINTROID-24,2019-04-19T11:58:09.054+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-24,2019-04-19T11:58:09.054+0200,matthiasmueller,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-24,2019-04-24T19:44:05.450+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-24,2019-04-24T19:44:05.450+0200,thomasschwengler,PAINTROID
assignee,jira,,,thomasschranz,Thomas Schranz,PAINTROID-24,2019-04-26T11:40:52.084+0200,thomasschranz,PAINTROID
assignee,jira,thomasschranz,Thomas Schranz,,,PAINTROID-24,2019-04-26T12:31:08.368+0200,thomasschranz,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-24,2019-04-26T12:31:08.368+0200,thomasschranz,PAINTROID
Code Reviewer,custom,alexanderhiebl,Alexander Hiebl,thomasschranz,Thomas Schranz,PAINTROID-24,2019-04-26T12:31:08.368+0200,thomasschranz,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-24,2019-04-29T13:16:13.092+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-24,2019-04-29T13:18:51.559+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-24,2019-04-29T13:18:51.559+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-24,2019-04-29T13:18:51.559+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-24,2019-05-24T18:53:40.553+0200,thomasschwengler,PAINTROID
Acceptance Criteria,custom,,* All calls from the ShapeTool to its ui have to be removed,,* All calls from the ImportTool to its ui have to be removed,PAINTROID-23,2018-11-07T20:58:44.275+0100,thomasschwengler,PAINTROID
description,jira,,"Separate the TextTool from its ui. The ui should only observe the tool state, the tool itself should neither inflate the ui nor even know about its existence.

Any call from the TextTool to its ui have to be removed.",,"Separate the ImportTool from its ui. The ui should only observe the tool state, the tool itself should neither inflate the ui nor even know about its existence.

Any call from the ImportTool to its ui have to be removed.",PAINTROID-23,2018-11-07T20:59:03.291+0100,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-23,2018-11-07T21:02:20.012+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-23,2018-11-13T10:48:05.978+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-23,2018-11-13T10:49:53.283+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-23,2019-03-24T19:51:59.635+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-23,2019-03-24T23:33:16.830+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-23,2019-03-24T23:33:16.830+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-23,2019-03-24T23:33:16.830+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-23,2019-03-24T23:42:33.726+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-23,2019-03-24T23:42:33.726+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-23,2019-03-25T00:35:31.326+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-23,2019-03-25T00:35:32.781+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-23,2019-03-25T00:35:32.781+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-23,2019-03-25T00:35:32.781+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-23,2019-04-19T11:55:27.697+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-23,2019-04-22T20:17:13.673+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-23,2019-04-22T20:17:13.673+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-23,2019-04-22T20:17:13.673+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-23,2019-05-24T18:53:40.462+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-22,2018-11-07T21:02:38.142+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-22,2018-11-13T10:48:04.618+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-22,2018-11-13T10:49:55.573+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-22,2019-03-24T19:51:59.567+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-22,2019-03-25T22:28:53.168+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-22,2019-03-25T22:28:53.168+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-22,2019-03-25T22:28:53.168+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-22,2019-03-25T23:24:35.439+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-22,2019-03-25T23:24:35.439+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-22,2019-03-26T13:13:10.026+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-22,2019-03-26T13:13:13.823+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-22,2019-03-26T13:13:13.823+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-22,2019-03-26T13:13:13.823+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-22,2019-04-19T11:55:11.482+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-22,2019-04-19T11:55:12.911+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-22,2019-04-19T11:55:12.911+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-22,2019-04-19T11:55:12.911+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-22,2019-05-24T18:53:40.363+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-21,2018-11-07T21:02:45.218+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-21,2018-11-13T10:48:03.416+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-21,2018-11-13T10:49:44.587+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-21,2019-03-24T19:51:59.498+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-21,2019-03-26T18:03:32.898+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-21,2019-03-26T18:03:32.898+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-21,2019-03-26T18:03:32.898+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-21,2019-04-18T11:43:08.693+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-21,2019-04-18T11:43:08.693+0200,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-21,2019-04-24T19:25:06.239+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-21,2019-04-24T19:25:12.092+0200,thomasschwengler,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-21,2019-04-25T10:17:06.254+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-21,2019-04-25T10:17:08.551+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-21,2019-04-25T10:17:08.551+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-21,2019-04-25T10:17:08.551+0200,sebastiangrief,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-21,2019-04-25T17:33:05.082+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-21,2019-04-25T17:35:18.311+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-21,2019-04-25T17:35:18.311+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-21,2019-04-25T17:35:18.311+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-21,2019-05-24T18:53:40.243+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-20,2018-11-07T21:02:51.404+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-20,2018-11-13T10:48:01.908+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-20,2018-11-13T10:49:57.780+0100,thomasschwengler,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-20,2019-01-23T15:21:36.368+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-20,2019-01-23T15:21:36.368+0100,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-20,2019-01-23T15:21:36.368+0100,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-20,2019-03-15T11:21:11.003+0100,christophbinder,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-20,2019-03-15T11:21:11.003+0100,christophbinder,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-20,2019-03-22T19:50:01.937+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-20,2019-03-22T19:50:01.937+0100,thomasschwengler,PAINTROID
Developer,custom,christophbinder,Christoph Binder,thomasschwengler,Thomas Schwengler,PAINTROID-20,2019-03-22T19:50:01.937+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-20,2019-03-22T21:28:31.247+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-20,2019-03-22T21:28:31.247+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-20,2019-03-24T11:11:47.931+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-20,2019-03-24T11:11:52.803+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-20,2019-03-24T11:11:52.803+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-20,2019-03-24T11:11:52.803+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-20,2019-04-18T15:11:49.430+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-20,2019-04-18T15:18:53.097+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-20,2019-04-18T15:18:53.097+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-20,2019-04-18T15:18:53.097+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-20,2019-05-24T18:53:38.235+0200,thomasschwengler,PAINTROID
Acceptance Criteria,custom,,* All calls from the ShapeTool to its ui have to be removed,,* All calls from the LineTool to its ui have to be removed,PAINTROID-19,2018-11-07T20:55:49.301+0100,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-19,2018-11-07T20:56:02.271+0100,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-19,2018-11-07T21:02:58.827+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-19,2018-11-13T10:47:58.931+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-19,2018-11-13T10:49:42.871+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-19,2019-03-22T19:53:02.228+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-19,2019-03-22T19:53:02.228+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-19,2019-03-22T19:53:02.228+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-19,2019-03-22T22:13:42.363+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-19,2019-03-22T22:13:42.363+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-19,2019-03-24T11:11:32.780+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-19,2019-03-24T11:11:38.868+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-19,2019-03-24T11:11:38.868+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-19,2019-03-24T11:11:38.868+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-19,2019-04-18T15:42:40.906+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-19,2019-04-19T11:45:42.194+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-19,2019-04-19T11:45:42.194+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-19,2019-04-19T11:45:42.194+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-19,2019-05-24T18:53:38.073+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-18,2018-11-07T21:03:05.487+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-18,2018-11-13T10:47:57.702+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-18,2018-11-13T10:49:41.621+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-18,2019-03-22T19:50:04.037+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-18,2019-03-22T19:50:04.037+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-18,2019-03-22T19:50:04.037+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-18,2019-03-22T21:28:26.827+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-18,2019-03-22T21:28:26.827+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-18,2019-03-24T11:11:12.647+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-18,2019-03-24T11:11:24.816+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-18,2019-03-24T11:11:24.816+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-18,2019-03-24T11:11:24.816+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-18,2019-04-18T15:11:45.756+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-18,2019-04-18T15:19:01.183+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-18,2019-04-18T15:19:01.183+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-18,2019-04-18T15:19:01.183+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-18,2019-05-24T18:53:37.951+0200,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-17,2018-11-07T21:03:12.942+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-17,2018-11-13T10:47:56.506+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-17,2018-11-13T10:49:40.372+0100,thomasschwengler,PAINTROID
assignee,jira,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-17,2018-12-04T11:57:47.118+0100,aleksandarstojicic,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-17,2018-12-04T17:15:30.949+0100,aleksandarstojicic,PAINTROID
Developer,custom,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-17,2018-12-04T17:15:30.949+0100,aleksandarstojicic,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-17,2018-12-05T12:14:10.536+0100,aleksandarstojicic,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-17,2018-12-05T12:14:10.536+0100,aleksandarstojicic,PAINTROID
assignee,jira,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-17,2018-12-05T12:14:23.596+0100,aleksandarstojicic,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-17,2019-02-12T12:38:07.172+0100,thomasschwengler,PAINTROID
description,jira,,"Separate the ShapeTool from its ui. The ui should only observe the tool state, the tool itself should neither inflate the ui nor even know about its existence.

Any call from the ShapeTool to its ui have to be removed.",,"Separate the ShapeTool from its ui. The ui should only observe the tool state, the tool itself should not inflate the ui.

Any call from the ShapeTool to its ui have to be removed.",PAINTROID-17,2019-03-22T19:49:18.897+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-17,2019-03-24T19:51:59.378+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-17,2019-03-27T15:05:38.570+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-17,2019-03-27T15:05:38.570+0100,thomasschwengler,PAINTROID
Developer,custom,aleksandarstojicic,Aleksandar Stojicic,thomasschwengler,Thomas Schwengler,PAINTROID-17,2019-03-27T15:05:38.570+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-17,2019-05-14T12:46:24.616+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-17,2019-05-14T12:46:24.616+0200,thomasschwengler,PAINTROID
RemoteIssueLink,jira,,,12607,"This issue links to ""Page (Catrobat Confluence)""",PAINTROID-17,2019-05-15T09:01:04.986+0200,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-17,2019-05-24T13:25:28.431+0200,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-17,2019-05-24T13:25:31.443+0200,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-17,2019-05-24T13:25:31.443+0200,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-17,2019-05-24T13:25:31.443+0200,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-17,2019-06-04T12:42:22.190+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-17,2019-06-04T12:45:07.977+0200,matthiasmueller,PAINTROID
